sample_id,ST,Subtype_in_ST78,Subtype_in_popgen
GCA_003957785.1,203,na,na
M00065,78,na,nonMajor
M00066,78,2C,78A
M00362,78,2B,78A
M00363,78,2A,78A
M00680,78,2A,78A
M00943,78,2B,78A
M00945,78,2A,78A
M01234,78,2A,78A
M01235,78,2A,78A
M01236,78,na,78B
M01603,78,2A,78A
M05847,78,na,78A
M06114_3,78,2A,na
M07824,78,2A,na
M810154,78,2B,78A
M810885,78,na,78B
M86159,78,2B,78A
M910050,78,2A,78A
M910478,78,2A,78A
M910479,78,2A,78A
M910480_2,78,2A,78A
M910665_1,78,2A,78A
M910881,78,2A,78A
M910882,78,2C,78A
M910888,78,2A,78A
M911140,78,2A,78A
M911142,78,2A,78A
M911144,78,2A,78A
M911146,78,2A,78A
M911362,78,2A,78A
M911364,78,2A,78A
M911373,78,2A,78A
M911374,78,2A,78A
M911375,78,2A,78A
M911619,78,2A,78A
M911620,78,2A,78A
M911842,78,2A,78A
M912102,78,2B,78A
M912103,78,2A,78A
M912106,78,2B,78A
M91414,78,2C,78A
M93370,78,1D,78B
M93924,78,1D,78B
M94211,78,2B,78A
M94926,78,2B,78A
M94927,78,na,78B
M95768,78,2A,78A
M96011,78,na,na
M96902,78,2B,78A
M97750,78,2A,78A
M97944,78,2A,78A
M97945,78,2A,78A
M98146,78,2A,78A
M98147,78,2A,78A
M98516,78,2A,78A
M98703,78,2A,78A
M98884,78,2A,78A
M98889,78,2A,78A
M99250,78,2A,78A
M99402,78,2A,78A
M99624,78,na,78A
M99825,78,2A,78A
M99826,78,2C,78A
